product_id,product_title,product_type,sizes,fit_guide,material,measurements_json
prod_00052,Womens Boxy Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00053,Womens Mini Sweatpant,Sweatpants,"XS,S,M,L,XL,XXL",Regular fit with tapered leg. True to size.,Cotton/poly blend,"{'XS': {'waist_cm': 34, 'inseam_cm': 76, 'thigh_cm': 28}, 'S': {'waist_cm': 36, 'inseam_cm': 79, 'thigh_cm': 30}, 'M': {'waist_cm': 38, 'inseam_cm': 82, 'thigh_cm': 32}, 'L': {'waist_cm': 40, 'inseam_cm': 85, 'thigh_cm': 34}, 'XL': {'waist_cm': 42, 'inseam_cm': 88, 'thigh_cm': 36}, 'XXL': {'waist_cm': 44, 'inseam_cm': 91, 'thigh_cm': 38}}"
prod_00054,Down Puffer Vest,Outerwear,"XS,S,M,L,XL,XXL",Tailored fit. Consider sizing up for layering.,Nylon/polyester,"{'XS': {'chest_cm': 48, 'length_cm': 62, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 64, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 66, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 68, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 70, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 72, 'sleeve_cm': 25}}"
prod_00055,Fleece Lined Sweatpants,Sweatpants,"XS,S,M,L,XL,XXL",Regular fit with tapered leg. True to size.,Cotton/poly blend,"{'XS': {'waist_cm': 34, 'inseam_cm': 76, 'thigh_cm': 28}, 'S': {'waist_cm': 36, 'inseam_cm': 79, 'thigh_cm': 30}, 'M': {'waist_cm': 38, 'inseam_cm': 82, 'thigh_cm': 32}, 'L': {'waist_cm': 40, 'inseam_cm': 85, 'thigh_cm': 34}, 'XL': {'waist_cm': 42, 'inseam_cm': 88, 'thigh_cm': 36}, 'XXL': {'waist_cm': 44, 'inseam_cm': 91, 'thigh_cm': 38}}"
prod_00056,Holiday Graphic Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00057,Beanie Cap,Cap,ONE,One size fits most. Adjustable strap back.,Cotton twill,"{'ONE': {'size_cm': 'Adjustable strap', 'width_cm': 32}}"
prod_00058,Pastel Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00059,Spring Zip Hoodie,Hoodie,"XS,S,M,L,XL,XXL",Relaxed fit with roomy sleeves. True to size.,Cotton blend,"{'XS': {'chest_cm': 48, 'length_cm': 68, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 71, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 74, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 77, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 80, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 83, 'sleeve_cm': 25}}"
prod_00060,Womens Spring Tee,Tee,"XS,S,M,L,XL,XXL",Relaxed fit. True to size.,Cotton,"{'XS': {'chest_cm': 46, 'length_cm': 66, 'sleeve_cm': 19}, 'S': {'chest_cm': 50, 'length_cm': 69, 'sleeve_cm': 20}, 'M': {'chest_cm': 54, 'length_cm': 72, 'sleeve_cm': 21}, 'L': {'chest_cm': 58, 'length_cm': 75, 'sleeve_cm': 22}, 'XL': {'chest_cm': 62, 'length_cm': 78, 'sleeve_cm': 23}, 'XXL': {'chest_cm': 66, 'length_cm': 81, 'sleeve_cm': 24}}"
prod_00061,Womens Relaxed Sweatpant,Sweatpants,"XS,S,M,L,XL,XXL",Regular fit with tapered leg. True to size.,Cotton/poly blend,"{'XS': {'waist_cm': 34, 'inseam_cm': 76, 'thigh_cm': 28}, 'S': {'waist_cm': 36, 'inseam_cm': 79, 'thigh_cm': 30}, 'M': {'waist_cm': 38, 'inseam_cm': 82, 'thigh_cm': 32}, 'L': {'waist_cm': 40, 'inseam_cm': 85, 'thigh_cm': 34}, 'XL': {'waist_cm': 42, 'inseam_cm': 88, 'thigh_cm': 36}, 'XXL': {'waist_cm': 44, 'inseam_cm': 91, 'thigh_cm': 38}}"
prod_00062,Light Parka,Outerwear,"XS,S,M,L,XL,XXL",Tailored fit. Consider sizing up for layering.,Nylon/polyester,"{'XS': {'chest_cm': 48, 'length_cm': 62, 'sleeve_cm': 20}, 'S': {'chest_cm': 52, 'length_cm': 64, 'sleeve_cm': 21}, 'M': {'chest_cm': 56, 'length_cm': 66, 'sleeve_cm': 22}, 'L': {'chest_cm': 60, 'length_cm': 68, 'sleeve_cm': 23}, 'XL': {'chest_cm': 64, 'length_cm': 70, 'sleeve_cm': 24}, 'XXL': {'chest_cm': 68, 'length_cm': 72, 'sleeve_cm': 25}}"
